,price,kms_driven,owner,age,power,brand
0,35000.0,17654.0,1.0,3.0,110.0,4.0
1,119900.0,11000.0,1.0,4.0,350.0,1.0
2,600000.0,110.0,1.0,8.0,675.0,13.0
3,65000.0,16329.0,1.0,4.0,180.0,4.0
4,80000.0,10000.0,1.0,3.0,150.0,6.0
5,53499.0,25000.0,1.0,6.0,150.0,6.0
6,85000.0,8200.0,1.0,3.0,160.0,3.0
7,45000.0,12645.0,1.0,3.0,100.0,5.0
8,145000.0,9190.0,1.0,3.0,350.0,1.0
9,88000.0,19000.0,2.0,7.0,500.0,1.0
10,72000.0,20000.0,1.0,7.0,150.0,6.0
11,95000.0,9665.0,1.0,4.0,250.0,6.0
12,78000.0,9900.0,1.0,4.0,200.0,2.0
13,29499.0,20000.0,1.0,8.0,100.0,2.0
14,29900.0,20000.0,1.0,7.0,125.0,2.0
15,90000.0,11574.0,1.0,3.0,200.0,2.0
16,120000.0,23000.0,1.0,3.0,200.0,2.0
17,48000.0,24725.0,1.0,5.0,150.0,7.0
18,240000.0,15025.0,2.0,3.0,302.0,12.0
19,46500.0,3500.0,1.0,2.0,110.0,5.0
20,121700.0,24520.0,1.0,5.0,500.0,1.0
21,45000.0,23000.0,1.0,6.0,150.0,6.0
22,20000.0,29305.0,1.0,16.0,125.0,5.0
23,20800.0,30500.0,2.0,7.0,125.0,3.0
24,50000.0,19000.0,1.0,8.0,150.0,2.0
25,81200.0,9100.0,1.0,2.0,160.0,3.0
26,88000.0,21914.0,1.0,3.0,200.0,2.0
27,80000.0,20000.0,2.0,4.0,150.0,6.0
28,40900.0,15000.0,1.0,6.0,220.0,2.0
29,180000.0,17700.0,1.0,4.0,390.0,8.0
30,40000.0,30000.0,1.0,8.0,150.0,3.0
31,70000.0,100000.0,2.0,8.0,200.0,8.0
32,98800.0,39000.0,1.0,5.0,350.0,1.0
33,65000.0,43000.0,1.0,6.0,150.0,3.0
34,190500.0,4550.0,1.0,2.0,500.0,1.0
35,179000.0,3400.0,1.0,2.0,200.0,8.0
36,70000.0,45000.0,1.0,8.0,350.0,1.0
37,45000.0,36100.0,1.0,6.0,220.0,2.0
38,78000.0,8500.0,1.0,13.0,350.0,1.0
39,110000.0,2550.0,1.0,2.0,220.0,2.0
40,85000.0,18000.0,1.0,6.0,350.0,1.0
41,38000.0,35000.0,1.0,9.0,200.0,2.0
42,55346.0,38000.0,1.0,10.0,350.0,1.0
43,37000.0,10800.0,1.0,8.0,150.0,5.0
44,97000.0,4400.0,1.0,3.0,150.0,7.0
45,40000.0,357000.0,1.0,8.0,150.0,6.0
46,90000.0,15300.0,1.0,7.0,350.0,1.0
47,60000.0,30000.0,1.0,5.0,160.0,4.0
48,21900.0,30000.0,2.0,7.0,125.0,3.0
49,40000.0,64000.0,1.0,7.0,220.0,2.0
50,475000.0,11500.0,2.0,3.0,600.0,12.0
51,34500.0,17056.0,1.0,5.0,110.0,3.0
52,25000.0,172082.0,1.0,9.0,150.0,6.0
53,30200.0,45000.0,1.0,7.0,150.0,7.0
54,65000.0,35000.0,1.0,5.0,220.0,2.0
55,25000.0,38000.0,1.0,9.0,150.0,2.0
56,935000.0,2500.0,1.0,2.0,900.0,10.0
57,107100.0,15438.0,2.0,3.0,350.0,1.0
58,80000.0,6000.0,1.0,3.0,220.0,2.0
59,88000.0,19000.0,1.0,5.0,350.0,1.0
60,94700.0,32700.0,1.0,4.0,200.0,8.0
61,12200.0,46643.0,1.0,14.0,100.0,5.0
62,106000.0,19000.0,1.0,6.0,350.0,1.0
63,29500.0,40700.0,1.0,12.0,220.0,2.0
64,290000.0,11350.0,1.0,7.0,650.0,10.0
65,110000.0,1600.0,1.0,6.0,350.0,1.0
66,27000.0,44410.0,1.0,10.0,125.0,2.0
67,65000.0,9800.0,1.0,11.0,350.0,1.0
68,150000.0,15000.0,1.0,3.0,350.0,1.0
69,55786.0,68000.0,2.0,7.0,223.0,5.0
70,45000.0,17757.0,1.0,8.0,180.0,2.0
71,146000.0,3900.0,1.0,2.0,250.0,6.0
72,115000.0,23700.0,1.0,4.0,350.0,1.0
73,30000.0,8250.0,1.0,3.0,100.0,2.0
74,93100.0,10000.0,1.0,5.0,200.0,2.0
75,82000.0,4300.0,2.0,3.0,150.0,6.0
76,260000.0,3800.0,1.0,2.0,650.0,1.0
77,38000.0,33000.0,1.0,7.0,125.0,3.0
78,130000.0,17500.0,2.0,4.0,250.0,8.0
79,118000.0,19000.0,1.0,4.0,410.0,1.0
80,14700.0,10000.0,1.0,11.0,135.0,2.0
81,85000.0,54000.0,1.0,6.0,350.0,1.0
82,40000.0,27000.0,1.0,7.0,220.0,2.0
83,50000.0,19000.0,1.0,6.0,150.0,6.0
84,71800.0,43500.0,1.0,7.0,350.0,1.0
85,75000.0,11575.0,1.0,4.0,200.0,2.0
86,1350000.0,190.0,1.0,1.0,1100.0,11.0
87,790000.0,19000.0,1.0,3.0,765.0,13.0
88,47000.0,8600.0,1.0,4.0,150.0,2.0
89,60000.0,2000.0,1.0,2.0,150.0,2.0
90,96700.0,5100.0,1.0,1.0,150.0,7.0
91,31900.0,9000.0,1.0,5.0,100.0,5.0
92,35000.0,44480.0,1.0,13.0,150.0,2.0
93,240000.0,11000.0,1.0,3.0,390.0,8.0
94,68000.0,16000.0,1.0,7.0,250.0,3.0
95,80000.0,26691.0,1.0,5.0,200.0,2.0
96,135000.0,45000.0,1.0,5.0,350.0,1.0
97,11100.0,12000.0,3.0,12.0,150.0,2.0
98,480000.0,14200.0,1.0,4.0,600.0,12.0
99,65000.0,41000.0,1.0,3.0,150.0,7.0
100,60000.0,15000.0,1.0,5.0,150.0,6.0
101,80000.0,12314.0,1.0,4.0,150.0,3.0
102,46000.0,11760.0,1.0,3.0,100.0,5.0
103,95000.0,22000.0,1.0,11.0,500.0,1.0
104,55000.0,4400.0,1.0,4.0,150.0,2.0
105,63000.0,16000.0,1.0,5.0,150.0,6.0
106,51000.0,9000.0,1.0,4.0,150.0,2.0
107,69900.0,8700.0,1.0,3.0,160.0,4.0
108,125000.0,1342.0,1.0,4.0,200.0,2.0
109,210000.0,21000.0,1.0,6.0,300.0,12.0
110,35900.0,19000.0,1.0,5.0,125.0,3.0
111,67000.0,13000.0,1.0,9.0,250.0,3.0
112,29339.0,12771.0,1.0,4.0,100.0,5.0
113,19695.0,51576.0,1.0,6.0,100.0,5.0
114,48672.0,608.0,1.0,2.0,110.0,5.0
115,40000.0,13680.0,1.0,9.0,150.0,3.0
116,500000.0,285.0,1.0,5.0,600.0,6.0
117,800000.0,3.0,1.0,3.0,1299.0,11.0
118,110000.0,24676.0,1.0,5.0,410.0,1.0
119,92500.0,11000.0,1.0,6.0,350.0,1.0
120,57000.0,28948.0,1.0,5.0,200.0,2.0
121,72500.0,10000.0,1.0,10.0,350.0,1.0
122,68000.0,16000.0,1.0,9.0,200.0,8.0
123,21500.0,10500.0,1.0,5.0,125.0,4.0
124,40000.0,20000.0,1.0,6.0,160.0,4.0
125,91000.0,18000.0,1.0,5.0,350.0,1.0
126,47000.0,70000.0,1.0,6.0,150.0,7.0
127,53000.0,18158.0,1.0,6.0,150.0,7.0
128,51000.0,39140.0,1.0,5.0,150.0,7.0
129,48000.0,27776.0,1.0,8.0,220.0,2.0
130,55000.0,32734.0,1.0,6.0,220.0,2.0
131,173300.0,14000.0,1.0,2.0,410.0,1.0
132,77000.0,13000.0,1.0,8.0,350.0,1.0
133,115000.0,5000.0,1.0,2.0,200.0,2.0
134,36000.0,39500.0,1.0,7.0,150.0,2.0
135,72000.0,29500.0,1.0,4.0,220.0,2.0
136,115000.0,14900.0,1.0,3.0,350.0,1.0
137,65000.0,2000.0,1.0,3.0,125.0,3.0
138,99000.0,4000.0,1.0,2.0,150.0,3.0
139,68500.0,68500.0,2.0,7.0,150.0,6.0
140,140000.0,2473.0,1.0,2.0,150.0,6.0
141,130000.0,9221.0,1.0,3.0,200.0,8.0
142,46000.0,37128.0,1.0,7.0,200.0,2.0
143,30000.0,16166.0,1.0,6.0,125.0,5.0
144,116000.0,11716.0,1.0,3.0,400.0,2.0
145,130000.0,8419.0,1.0,3.0,350.0,1.0
146,98000.0,13459.0,1.0,5.0,350.0,1.0
147,85000.0,14704.0,1.0,6.0,350.0,1.0
148,50000.0,9200.0,1.0,4.0,150.0,2.0
149,100000.0,30294.0,1.0,5.0,350.0,1.0
150,66000.0,19756.0,1.0,8.0,350.0,1.0
151,80000.0,12000.0,1.0,2.0,160.0,3.0
152,123600.0,7702.0,1.0,3.0,350.0,1.0
153,950000.0,312.0,1.0,3.0,1300.0,7.0
154,107000.0,17000.0,1.0,4.0,350.0,1.0
155,600000.0,16000.0,1.0,5.0,821.0,11.0
156,80000.0,3500.0,1.0,3.0,150.0,6.0
157,75000.0,11050.0,1.0,4.0,150.0,7.0
158,43778.0,948.0,1.0,2.0,125.0,5.0
159,118000.0,11200.0,2.0,5.0,200.0,8.0
160,68000.0,10407.0,1.0,5.0,150.0,6.0
161,27000.0,23000.0,1.0,8.0,125.0,2.0
162,48500.0,5500.0,1.0,2.0,100.0,5.0
163,15000.0,38000.0,1.0,15.0,223.0,5.0
164,95000.0,23000.0,1.0,5.0,200.0,8.0
165,145000.0,4500.0,1.0,4.0,200.0,8.0
166,62000.0,11227.0,1.0,3.0,150.0,6.0
167,25000.0,45000.0,1.0,9.0,100.0,5.0
168,700000.0,100.0,1.0,6.0,1198.0,11.0
169,160000.0,3500.0,1.0,3.0,500.0,1.0
170,47500.0,30000.0,1.0,5.0,220.0,2.0
171,21000.0,38000.0,1.0,9.0,150.0,6.0
172,18000.0,22000.0,1.0,12.0,125.0,6.0
173,36000.0,54560.0,1.0,8.0,223.0,5.0
174,52000.0,33150.0,1.0,6.0,150.0,6.0
175,68000.0,12077.0,1.0,5.0,200.0,4.0
176,80000.0,5000.0,1.0,4.0,220.0,2.0
177,110800.0,13300.0,1.0,6.0,500.0,1.0
178,85000.0,16000.0,1.0,2.0,160.0,4.0
179,145000.0,4000.0,1.0,2.0,350.0,1.0
180,145000.0,3000.0,1.0,3.0,400.0,2.0
181,149000.0,7000.0,1.0,3.0,350.0,1.0
182,60000.0,4000.0,1.0,2.0,100.0,5.0
183,140000.0,11000.0,1.0,4.0,350.0,1.0
184,85000.0,15000.0,1.0,7.0,200.0,8.0
185,86000.0,15000.0,1.0,3.0,220.0,2.0
186,115000.0,15500.0,1.0,4.0,350.0,1.0
187,83000.0,500.0,1.0,3.0,150.0,7.0
188,28000.0,35251.0,1.0,12.0,180.0,2.0
189,14500.0,35000.0,1.0,14.0,100.0,5.0
190,32000.0,22000.0,1.0,5.0,110.0,5.0
191,62500.0,26000.0,1.0,5.0,180.0,2.0
192,122500.0,10000.0,1.0,3.0,150.0,6.0
193,24500.0,15000.0,1.0,6.0,100.0,2.0
194,78500.0,26000.0,1.0,4.0,200.0,4.0
195,102500.0,21000.0,1.0,4.0,350.0,1.0
196,28000.0,28428.0,1.0,9.0,110.0,4.0
197,130000.0,10149.0,1.0,3.0,350.0,1.0
198,130000.0,7036.0,1.0,3.0,350.0,1.0
199,115000.0,7593.0,1.0,4.0,400.0,2.0
200,96000.0,17000.0,1.0,6.0,200.0,8.0
